title,book,page,favorite
12-4 2-4/Duplicities,RealBk1,128,false
12th Street Rag,JazzFake,401,false
26-2,NewReal2,398,false
317 E. 32nd St,JazzLTD,352,false
34 Skidoo,EvansBk,73,false
34 Skidoo,NewReal3,385,false
502 Blues,RealBk1,153,false
52nd Street Theme,RealBk2,93,false
720 In The Books,JazzLTD,339,false
728,RealBk2,312,false
9:20 Special,JazzFake,275,false
A Ballad For Doll,NewReal3,38,false
A Ballad,JazzFake,52,false
A Ballad,JazzLTD,44,false
A Ballad,Library,19,false
A Beautiful Friendship,JazzFake,53,false
A Bid For,JazzLTD,1,false
A Certain Smile,RealBk3,48,false
A Cottage For Salt,JazzFake,90,false
A Dandy Line,Library,3,false
A Day In The Life Of A Fool,JazzFake,94,false
A Felicidade,JazzFake,31,false
A Fine Romance,JazzFake,117,false
A Flower Is A Lonesome Thing,RealBk2,101,false
A Foggy Day,JazzFake,120,false
A Ghost Of A Chance,JazzFake,129,false
A Ghost Of A Chance,NewReal3,132,false
A Ghost Of A Chance,RealBk2,121,false
A Good Man Is Hard To Find,JazzFake,137,false
A Little Duet,Library,70,false
A Little Sweet,JazzLTD,5,false
A Little Taste,Library,182,false
A Little Tear,NewReal1,190,false
A Lot Of Livin' To Do,JazzFake,227,false
A Night In Tunesia,Library,3,false
A Night In Tunisia,ColoBk,9,false
A Night In Tunisia,JazzFake,275,false
A Night In Tunisia,RealBk1,7,false
A Nightingale Sang In Berkeley Square,JazzFake,274,false
A Nightingale Sang In Berkeley Square,NewReal2,261,false
A Nightingale Sang In Berkeley Square,RealBk3,213,false
A Pretty Girl Is Like A Melody,RealBk3,243,false
A Quiet Place,NewReal2,301,false
A Simple Matter Of Conviction,EvansBk,64,false
A Smooth One,JazzFake,344,false
A Song For Nicholas,ColoBk,11,false
A Sound For Sore Ears,ColoBk,12,false
A String Of Pearls,JazzFake,366,false
A Sunday Kind Of Love,JazzFake,369,false
A Sunday Kind Of Love,JazzLTD,322,false
A Taste Of Honey,JazzFake,379,false
A Time For Love,RealBk3,315,false
A Walkin' Thing,RealBk2,381,false
A Weaver Of Dreams,NewReal1,398,false
Ablution,RealBk2,1,false
AC-DC Current,JazzFake,35,false
Across The Alley From The Alamo,JazzFake,34,false
Actual Proof,NewReal3,1,false
Adams Apple,JazzLTD,2,false
Affirmation,NewReal1,1,false
Affirmation,RealBk2,2,false
Afreaka,JazzLTD,3,false
Africa,ColoBk,13,false
Africaine,JazzLTD,18,false
African Flower,RealBk1,8,false
Afro Blue,RealBk1,9,false
Afro-Centric,NewReal2,1,false
After Fact,JazzLTD,17,false
After Hours,JazzFake,32,false
After The Rain,NewReal2,3,false
After You've Gone,JazzFake,33,false
After You've Gone,NewReal2,5,false
After You've Gone,RealBk3,2,false
After You,RealBk3,1,false
Afternoon In Paris,ColoBk,14,false
Afternoon In Paris,JazzFake,35,false
Afternoon In Paris,RealBk1,10,false
Ah-Leu-Cha,JazzFake,36,false
Ah-leu-cha,JazzLTD,10,false
Ain't It The Truth,JazzLTD,4,false
Ain't Misbehavin',JazzFake,36,false
Ain't Misbehavin,NewReal2,6,false
Ain't Misbehavin,RealBk3,3,false
Ain't That Peculiar,NewReal3,5,false
Air Conditioning,JazzLTD,6,false
Air Conditioning,Library,8,false
Air Mail Special,JazzFake,38,false
Airegin,JazzFake,37,false
Airegin,Library,147,false
Airegin,NewReal1,2,false
Airegin,RealBk1,11,false
Airmail Special,RealBk2,3,false
Aisha,JazzLTD,5,false
Aja's Theme,NewReal3,10,false
Alanjuneally,RealBk3,6,false
Alfie's Theme,RealBk2,4,false
Alfie,RealBk1,A1,false
Algo Bueno,ColoBk,271,false
Algo Bueno,ColoBk,271,false
Algo Bueno,Library,1,false
Alice In Wonderland,RealBk1,12,false
All About Ronnie,JazzFake,8,false
All Alone,RealBk2,5,false
All Blues,ColoBk,15,false
All Blues,JazzFake,39,false
All Blues,RealBk1,13,false
All God's Chillun Got Rhythm,RealBk2,6,false
All In Love Is Fair,RealBk1,14,false
All Members,JazzLTD,6,false
All My Tomorrows,RealBk1,15,false
All Of Me,JazzFake,39,false
All Of Me,NewReal1,3,false
All Of Me,RealBk1,16,false
All Of You,JazzFake,39,false
All Of You,RealBk1,17,false
All Or Nothing At Al,RealBk3,4,false
All Or Nothing At All,JazzFake,41,false
All Or Nothing At All,NewReal1,429,false
All The Things You Are,ColoBk,16,false
All The Things You Are,JazzFake,40,false
All The Things You Are,NewReal1,4,false
All The Things You Are,RealBk1,18,false
All Too Soon,JazzLTD,7,false
All You Were To Us,ColoBk,17,false
Almost Like Being In Love,JazzLTD,8,false
Almost Like Being In Love,NewReal3,12,false
Alone Together,ColoBk,18,false
Alone Together,RealBk1,19,false
Along Came Betty,ColoBk,19,false
Along Came Betty,JazzFake,43,false
Along Came Betty,NewReal2,7,false
Along Came Betty,RealBk3,7,false
Alright Okay You Win,JazzFake,42,false
Altoitis,RealBk2,7,false
Always And Forever,RealBk3,8,false
Always There,NewReal1,5,false
Amapola,JazzFake,43,false
Amazing Grace,JazzFake,44,false
American Gothic,NewReal3,13,false
Among My Souvenirs,JazzFake,44,false
Amor Sonador,JazzLTD,9,false
An Oscar For Treadwell,JazzLTD,12,false
An Oscar For Treadwell,Library,4,false
Ana Maria,RealBk1,20,false
Anamaria,NewReal1,7,false
And All That jazz,JazzFake,46,false
And Far Away,JazzFake,225,false
And It All Goes Round,NewReal3,15,false
And Now The Queen,RealBk1,22,false
And On The Third Day,RealBk1,23,false
And One More For The Roa,NewReal1,253,false
Angel Eyes,ColoBk,20,false
Angel Eyes,JazzFake,45,false
Angel Eyes,NewReal1,9,false
Angel Eyes,RealBk1,24,false
Angela,RealBk3,9,false
Another Hairdo,JazzFake,45,false
Another Kind Of Soul,Library,149,false
Another Star,NewReal3,17,false
Another Star,RealBk2,8,false
Another Time,NewReal3,19,false
Anthropology,ColoBk,2,false
Anthropology,NewReal1,11,false
Anthropology,RealBk1,25,false
Anti Climax,JazzLTD,13,false
Antigua,ColoBk,22,false
Apple Core,JazzFake,47,false
Apple Honey,JazzFake,48,false
Appointment In Ghana,NewReal3,21,false
April Head,JazzLTD,11,false
April In Paris,RealBk1,26,false
April Joy,RealBk1,27,false
April Skids,RealBk2,9,false
April,RealBk2,10,false
Aquarius,JazzLTD,13,false
Are They Only Dreams,JazzLTD,14,false
Aren't You Glad You're You,JazzFake,48,false
Arietas,NewReal3,24,false
Arise Her Eyes,RealBk1,28,false
Armageddon,RealBk1,30,false
Armando's Rhumba,RealBk3,10,false
Around Again,RealBk1,22,false
Arriving Soon,JazzLTD,12,false
As Catch Can,JazzFake,49,false
As Long As I Have You,JazzFake,167 ,false
As Time Goes By,RealBk1,31,false
ASA,NewReal2,9,false
Ask Me Now,RealBk2,12,false
At Last,JazzLTD,15,false
Au Privave,JazzFake,50,false
Au Privave,Library,1,false
Au Privave,RealBk1,32,false
Aura,NewReal3,212,false
Autumn In 3,RealBk3,12,false
Autumn In New York,RealBk1,33,false
Autumn Leaves,ColoBk,23,false
Autumn Leaves,JazzFake,50,false
Autumn Leaves,NewReal1,12,false
Autumn Leaves,RealBk1,36,false
Autumn Liebs,JazzLTD,16,false
Autumn Nocturne,RealBk3,13,false
Autumn Serenade,NewReal3,27,false
