 title,attribution,book,page,favorite
"'S Wonderful","George Gershwin",Standard,364,false
"(I'm Afraid) The Masquerade Is Over","",HLBook,229,false
"(I'm Afraid) The Masquerade Is Over","Allie Wrubel, Herb Magidson",openbook jazz standards,148,false
"(Meet) The Flintstones","Hoyt Curtin, Joseph Barbera and William Hanna",HLBook,123,false
"(There Ought to Be A) MoonIight Saving Time","Irving Kahal, Harry Richman",HLBook,245,false
"(There'll Be Bluebirds Over) The White Cliffs of Dover","Walter Kent",HLBook,373,false
"(What Did I Do to Be So) Black and Blue","Fats Waller, Harry Brooks, Andy Razaf",HLBook,46,false
"12-4 2-4/Duplicities","Jack Stock",RealBk1,128,false
"12th Street Rag","Euday Bowman, Andy Razaf",JazzFake,401,false
"26-2","John Coltrane",NewReal2,398,false
"317 E. 32nd St","",JazzLTD,352,false
"34 Skidoo","",EvansBk,73,false
"34 Skidoo","",NewReal3,385,false
"500 Miles High","",HLBook,123,false
"500 Miles High","Chick Corea",openbook jazz standards,5,false
"502 Blues","Wayne Shorter",RealBk1,153,false
"52nd Street Theme","",RealBk2,93,false
"720 In The Books","",JazzLTD,339,false
"728","J. Coles",RealBk2,312,false
"9:20 Special","Bill Engvick, Earl Warren",JazzFake,275,false
"A Ballad For Doll","Jackie McLean",NewReal3,38,false
"A Ballad","",JazzFake,52,false
"A Ballad","",JazzLTD,44,false
"A Ballad","",Library,19,false
"A Beautiful Friendship","",RealBk3,17,false
"A Beautiful Friendship","",Standard,56,false
"A Beautiful Friendship","Stanley Styne, Donald Kahn",JazzFake,53,false
"A Bid For Sid",""Jerry Goldsmith ,JazzLTD,1,false
"A Blossom Fell","Howard Barnes, Harold Cornelius, Joe Roncoroni",HLBook,45,false
"A Certain Smile","Sammy Fain, Paul Francis Webster",RealBk3,48,false
"A Child Is Born","Thad Jones, Alec Wilder",HLBook,81,false
"A Cottage For Salt","Larry Conley, Willard Robison",JazzFake,90,false
"A Cup Of Coffee, A Sandwich And You","Joseph Meyer, Billy Rose, Al Dubin",openbook jazz standards,6,false
"A Dandy Line","Jack Montrose",Library,3,false
"A Day In The Life Of A Fool","",JazzFake,94,false
"A Day In The Life Of A Fool","Luiz Bonfa, Carl Sigman",openbook jazz standards,7,false
"A Felicidade","",Standard,140,false
"A Felicidade","Antônio Carlos Jobim,Vinicius de Moraes",JazzFake,31,false
"A Fine Romance","",JazzFake,117,false
"A Fine Romance","",RealBk1,3,false
"A Fine Romance","",TheBook,50,false
"A Fine Romance","Jerome Kern, Dorothy Fields",openbook jazz standards,8,false
"A Flower Is A Lonesome Thing","",RealBk2,101,false
"A Foggy Day","",JazzFake,120,false
"A Foggy Day","",RealBk1,6,false
"A Foggy Day","",Standard,142,false
"A Foggy Day","",TheBook,236,false
"A Foggy Day","George Gershwin, Ira Gershwin",openbook jazz standards,9,false
"A Ghost Of A Chance","",JazzFake,129,false
"A Ghost Of A Chance","",NewReal3,132,false
"A Ghost Of A Chance","",RealBk2,121,false
"A Good Man Is Hard To Find","",JazzFake,137,false
"A House Is Not A Home","",Standard,169,false
"A Hundred Years from Today","",HLBook,153,false
"A Little Duet","",Library,70,false
"A Little Sweet","",JazzLTD,5,false
"A Little Taste","",Library,182,false
"A Little Tear","",NewReal1,190,false
"A Lot Of Livin' To Do","",JazzFake,227,false
"A Lot Of Livin' To Do","",TheBook,156,false
"A Lot Of Living To Do","",Standard,272,false
"A Lovely Way to Spend an Evening","",HLBook,205,false
"A Mess Of Blues","",BluesBk,4,false
"A Night In Tunesia","",Library,3,false
"A Night In Tunisia","",ColoBk,9,false
"A Night In Tunisia","",JazzFake,275,false
"A Night In Tunisia","",RealBk1,7,false
"A Night In Tunisia","John 'Dizzy' Gillespie, Frank Paparelli",openbook jazz standards,10,false
"A Nightingale Sang In Berkeley Square","",JazzFake,274,false
"A Nightingale Sang In Berkeley Square","",NewReal2,261,false
"A Nightingale Sang In Berkeley Square","",RealBk3,213,false
"A Nightingale Sang in Berkeley Square","Manning Sherwin, Eric Maschwitz",openbook jazz standards,11,false
"A Pretty Girl Is Like A Melody","",RealBk3,243,false
"A Quiet Place","",NewReal2,301,false
"A Remark You Made","",HLBook,288,false
"A Ship Without a Sail","",HLBook,306,false
"A Simple Matter Of Conviction","",EvansBk,64,false
"A Sleepin' Bee","",HLBook,309,false
"A Smooth One","",JazzFake,344,false
"A Song For Nicholas","",ColoBk,11,false
"A Song For You","",Standard,399,false
"A Sound For Sore Ears","",ColoBk,12,false
"A String Of Pearls","",JazzFake,366,false
"A String Of Pearls","",TheBook,374,false
"A Sunday Kind Of Love","",JazzFake,369,false
"A Sunday Kind Of Love","",JazzLTD,322,false
"A Taste Of Honey","",JazzFake,379,false
"A Time For Love","",RealBk3,315,false
"A Time For Love","",Standard,466,false
"A Walkin' Thing","",RealBk2,381,false
"A Weaver Of Dreams","",ColoBk,262,false
"A Weaver Of Dreams","",NewReal1,398,false
"Ablution","",RealBk2,1,false
"AC-DC Current","",JazzFake,35,false
"Across The Alley From The Alamo","",JazzFake,34,false
"Actual Proof","",NewReal3,1,false
"Adams Apple","",JazzLTD,2,false
"Adios","",HLBook,17,false
"Adois Muchachos","",TheBook,295,false
"Affirmation","",HLBook,19,false
"Affirmation","",NewReal1,1,false
"Affirmation","",RealBk2,2,false
"Afreaka","",JazzLTD,3,false
"Africa","",ColoBk,13,false
"Africaine","",JazzLTD,18,false
"African Flower","",RealBk1,8,false
"Afro Blue","",BluesBk,5,false
"Afro Blue","",RealBk1,9,false
"Afro-Centric","",NewReal2,1,false
"After All","",HLBook,18,false
"After Fact","",JazzLTD,17,false
"After Hours","",JazzFake,32,false
"After The Lovin'","",TheBook,18,false
"After the Rain","",HLBook,22,false
"After The Rain","",NewReal2,3,false
"After You","",RealBk3,1,false
"After You","",Standard,14,false
"After You've Gone","",BluesBk,8,false
"After You've Gone","",JazzFake,33,false
"After You've Gone","",NewReal2,5,false
"After You've Gone","",RealBk3,2,false
"Aftermath (Part II)","",HLBook,23,false
"Afternoon In Paris","",ColoBk,14,false
"Afternoon In Paris","",JazzFake,35,false
"Afternoon In Paris","",RealBk1,10,false
"Afternoon in Paris","John Lewis",openbook jazz standards,12,false
"Again","",Standard,16,false
"Agua De Beber (Water to Drink)","",HLBook,22,false
"Agua De Beber","",Standard,17,false
"Aguas De Marco (Waters of March)","",HLBook,20,false
"Ah Marie","",TheBook,465,false
"Ah-Leu-Cha","",JazzFake,36,false
"Ah-leu-cha","",JazzLTD,10,false
"Ain't It The Truth","",JazzLTD,4,false
"Ain't Misbehavin'","",JazzFake,36,false
"Ain't Misbehavin'","",NewReal2,6,false
"Ain't Misbehavin'","",RealBk3,3,false
"Ain't No Sunshine","",Standard,19,false
"Ain't She Sweet","",HLBook,23,false
"Ain't She Sweet","",TheBook,224,false
"Ain't That Peculiar","",NewReal3,5,false
"Air Conditioning","",JazzLTD,6,false
"Air Conditioning","",Library,8,false
"Air Dancing","",HLBook,24,false
"Air Mail Special","",JazzFake,38,false
"Airegin","",JazzFake,37,false
"Airegin","",Library,147,false
"Airegin","",NewReal1,2,false
"Airegin","",RealBk1,11,false
"Airmail Special","",RealBk2,3,false
"Aisha","",HLBook,24,false
"Aisha","",JazzLTD,5,false
"Aja","",HLBook,25,false
"Aja's Theme","",NewReal3,10,false
"Al Di La","",TheBook,459,false
"Alabama","",HLBook,26,false
"Alanjuneally","",RealBk3,6,false
"Alardoso","",CubanBk1,2,false
"Alexanders Ragtime Band","",TheBook,404,false
"Alfie","",HLBook,26,false
"Alfie","",RealBk1,A1,false
"Alfie's Theme","",RealBk2,4,false
"Algo Bueno","",ColoBk,271,false
"Algo Bueno","",ColoBk,271,false
"Algo Bueno","",Library,1,false
"Alice in Wonderland","",HLBook,27,false
"Alice In Wonderland","",RealBk1,12,false
"Alice In Wonderland","",Standard,21,false
"Alice In Wonderland","Sammy Fain, Bob Hilliard",openbook jazz standards,13,false
"All About Ronnie","",JazzFake,8,false
"All About Ronnie","",Standard,23,false
"All Alone","",HLBook,28,false
"All Alone","",RealBk2,5,false
"All Blues","",ColoBk,15,false
"All Blues","",JazzFake,39,false
"All Blues","",RealBk1,13,false
"All God's Chillun Got Rhythm","",RealBk2,6,false
"All In Love Is Fair","",RealBk1,14,false
"All Members","",JazzLTD,6,false
"All My Loving","",TheBook,243,false
"All My Tomorrows","",RealBk1,15,false
"All My Tomorrows","",Standard,24,false
"All Of Me","",JazzFake,39,false
"All Of Me","",NewReal1,3,false
"All Of Me","",RealBk1,16,false
"All Of Me","",TheBook,60,false
"All Of Me","Seymour Simons, Gerald Marks",openbook jazz standards,15,false
"All Of You","",JazzFake,39,false
"All Of You","",RealBk1,17,false
"All Of You","",Standard,26,false
"All Of You","",Standard,28,false
"All Of You","",TheBook,33,false
"All Or Nothing At All","",BluesBk,6,false
"All Or Nothing At All","",JazzFake,41,false
"All Or Nothing At All","",NewReal1,429,false
"All Or Nothing At All","",RealBk3,4,false
"All Or Nothing At All","Arthur Altman, Jack Lawrence",openbook jazz standards,16,false
"All The Things You Are","",ColoBk,16,false
"All The Things You Are","",JazzFake,40,false
"All The Things You Are","",NewReal1,4,false
"All The Things You Are","",RealBk1,18,false
"All The Things You Are","",TheBook,58,false
"All The Things You Are","Jerome Kern, Oscar Hammerstein II",openbook jazz standards,18,false
"All The Way","",Standard,29,false
"All Through The Night","",Standard,31,false
"All Too Soon","",JazzLTD,7,false
"All You Were To Us","",ColoBk,17,false
"Alley Cat","",TheBook,410,false
"Allez Vous En","",TheBook,439,false
"Allvio","",CubanBk1,4,false
"Alma con alma","",CubanBk1,6,false
"Almendra","",CubanBk1,8,false
"Almost Like Being In Love","",JazzLTD,8,false
"Almost Like Being In Love","",NewReal3,12,false
"Almost Like Being In Love","",TheBook,207,false
"Alone Together","",ColoBk,18,false
"Alone Together","",RealBk1,19,false
"Alone Together","",Standard,33,false
"Alone Together","Arthur Schwartz, Howard Dietz",openbook jazz standards,19,false
"Alone Too Long","",HLBook,28,false
"Along Came Betty","",ColoBk,19,false
"Along Came Betty","",JazzFake,43,false
"Along Came Betty","",NewReal2,7,false
"Along Came Betty","",RealBk3,7,false
"Alright Okay You Win","",JazzFake,42,false
"Altoitis","",RealBk2,7,false
"Always And Forever","",RealBk3,8,false
"Always There","",NewReal1,5,false
"Always True To My Fashion","",TheBook,186,false
"Always","",TheBook,365,false
"Always","Irving Berlin",openbook jazz standards,20,false
"Am I Blue?","",Standard,35,false
"Amapola","",JazzFake,43,false
"Amazing Grace","",JazzFake,44,false
"American Gothic","",NewReal3,13,false
"American Patrol","",TheBook,383,false
"Among My Souvenirs","",JazzFake,44,false
"Among My Souvenirs","Horatio Nicholls, Edgar Leslie",openbook jazz standards,21,false
"Amor esperame","",CubanBk1,185,false
"Amor Sonador","",JazzLTD,9,false
"An Oscar For Treadwell","",JazzLTD,12,false
"An Oscar For Treadwell","",Library,4,false
"Ana Maria","",RealBk1,20,false
"Anamaria","",NewReal1,7,false
"And All That jazz","",JazzFake,46,false
"And Far Away","",JazzFake,225,false
"And I Love Her","",TheBook,242,false
"And I Think About It All the Time","",HLBook,29,false
"And It All Goes Round","",NewReal3,15,false
"And Now The Queen","",RealBk1,22,false
"And On The Third Day","",RealBk1,23,false
"And One More For The Roa","",NewReal1,253,false
"And The Angels Sing","",Standard,36,false
"And The Angels Sing","",TheBook,385,false
"Andalucia","",CubanBk1,11,false
"Angel Eyes","",ColoBk,20,false
"Angel Eyes","",JazzFake,45,false
"Angel Eyes","",NewReal1,9,false
"Angel Eyes","",RealBk1,24,false
"Angel Eyes","Matt Dennis, Earl Brent",openbook jazz standards,22,false
"Angela","",RealBk3,9,false
"Anniversary Song","",TheBook,369,false
"Anniversary Waltz","",TheBook,367,false
"Another Hairdo","",JazzFake,45,false
"Another Kind Of Soul","",Library,149,false
"Another Star","",NewReal3,17,false
"Another Star","",RealBk2,8,false
"Another Time","",NewReal3,19,false
"Anthropology","",ColoBk,2,false
"Anthropology","",HLBook,30,false
"Anthropology","",NewReal1,11,false
"Anthropology","",RealBk1,25,false
"Anti Climax","",JazzLTD,13,false
"Antigua","",ColoBk,22,false
"Antigua","",HLBook,30,false
"Anything Goes","",Standard,38,false
"Anything Goes","",TheBook,195,false
"Anytime","",TheBook,391,false
"Applause","",TheBook,179,false
"Apple Core","",JazzFake,47,false
"Apple Honey","",JazzFake,48,false
"Appointment In Ghana","",NewReal3,21,false
"April Head","",JazzLTD,11,false
"April in Paris","",HLBook,31,false
"April In Paris","",RealBk1,26,false
"April In Paris","",TheBook,57,false
"April Joy","",RealBk1,27,false
"April Showers","",TheBook,223,false
"April Skids","",RealBk2,9,false
"April","",RealBk2,10,false
"Aquarius","",JazzLTD,13,false
"Aquella tarde","",CubanBk1,14,false
"Are They Only Dreams","",JazzLTD,14,false
"Are You Havin' Any Fun?","",HLBook,32,false
"Aren't You Glad You're You","",JazzFake,48,false
"Arietas","",NewReal3,24,false
"Arise Her Eyes","",RealBk1,28,false
"Armageddon","",RealBk1,30,false
"Armando's Rhumba","",HLBook,32,false
"Armando's Rhumba","",RealBk3,10,false
"Around Again","",RealBk1,22,false
"Around The World","",TheBook,362,false
"Arrivederci Roma","",TheBook,457,false
"Arriving Soon","",JazzLTD,12,false
"Artists Life","",TheBook,509,false
"As Catch Can","",JazzFake,49,false
"As Long As He Needs Me","",TheBook,76,false
"As Long As I Have You","",BluesBk,9,false
"As Long As I Have You","",JazzFake,167,false
"As Long as I Live","",HLBook,33,false
"As Time Goes By","",BluesBk,10,false
"As Time Goes By","",RealBk1,31,false
"As Time Goes By","",Standard,40,false
"As Time Goes By","",TheBook,103,false
"As Time Goes By","Herman Hupfeld",openbook jazz standards,23,false
"As We Speak","",Standard,42,false
"ASA","",NewReal2,9,false
"Ashes to Ashes","",HLBook,34,false
"Ask Me Now","",RealBk2,12,false
